URL,Title,Description,Content
https://indianexpress.com/article/cities/mumbai/172-new-covid-cases-recorded-in-mumbai-562-cases-in-maharashtra-8534424/,172 new Covid cases recorded in Mumbai 562 cases in Maharashtra,One person from Thane city succumbed during the day while the other two are Sangli district and Nanded district,As the country witnesses a worrying spike in Covid cases Mumbai on Sunday reported 172 new cases Maharashtra logged a total of 562 new cases taking the overall tally to 8145342 Three deaths rai 728 chars
https://indianexpress.com/article/cities/sas-nagar-mohali/police-arrest-two-involved-in-zirakpur-armed-snatching-8534285/,Police arrest two involved in Zirakpur armed snatching,The police investigation found that Nitin is a history sheeter who has at least five criminal cases against him related to snatching attempt to murder drugs and arms smuggling,Two days after an armed snatching with a banker the Zirakpur police arrested both accused involved in the crime and recovered a 32 bore pistol a car and five live cartridges from themThe incident 1212 chars
https://indianexpress.com/article/cities/ahmedabad/gujarat-this-week-film-migration-contemporary-art-exhibition-8533321/,Gujarat This Week Film on migration contemporary art exhibition and more,A Hungarian film set in an Auschwitz concentration camp from 1944 also features,A Place to Live About the event A 2018 film directed by Sanjiv Shah is about how migration is caused by poverty calamities civil strife and displacement due to development projects making India 1159 chars
https://indianexpress.com/article/opinion/columns/leher-kala-writes-how-happiest-became-the-aim-8532792/,How happiest became the aim,The world is fixated on happiness because thanks to social media it has become the ultimate status symbol The game of oneupmanship has changed,A UN publication released a report on the worlds most and least happiest nations The release coincided with the International Day of Happiness March 20 Of the 146 countries on the list India ran 3742 chars
https://indianexpress.com/article/cities/hyderabad/data-indians-sale-cyberabad-police-arrest-man-faridabad-8533412/,Data of 669 crore Indians up for sale Cyberabad police arrest man from Faridabad,The police also found consumercustomer data of major organisations like Amazon Netflix YouTube Paytm PhonePe Big Basket BookMyShow Instagram Zomato Policybazaar Upstox etc from his possession,Days after busting a Noidabased gang that illegally procured and sold personal data of 168 crore citizens the Cyberabad police Saturday April 1 announced the arrest of the alleged kingpin of Far 3035 chars
https://indianexpress.com/article/entertainment/bollywood/bhola-bholaa-box-office-collection-day-3-ajay-devgn-tabu-film-earns-over-rs-30-crore-8533310/,Bholaa box office collection Day 3 Ajay Devgns film sees a spike on Saturday earns more than Rs 30 crore,Bholaa box office collection Day 3 After a slow Friday Ajay Devgns Bholaa gained momentum as the film earned over Rs 10 crore on its first Saturday However with Ramadan and IPL the films collection might get affected in coming days,After a dip on Friday Ajay Devgns Bholaa saw a spike on Saturday earning more than its opening numbers The film released on Ram Navami Thursday and collected Rs 112 crore and Rs 74 crore on i 1290 chars
https://indianexpress.com/article/opinion/columns/p-chidambaram-writes-law-may-stumble-justice-will-triumph-rahul-gandhi-defamation-case-8532764/,P Chidambaram writes Law may stumble justice will triumph,A routine case that meandered for three years suddenly acquired urgency and surged forward at lightning speed from resumption of trial to conviction in 30 days,Courts are established to deliver justice according to law Sometimes justice may stumble but litigants in India can reasonably hope that if they continue the journey on the tortuous path they wil 5169 chars
https://indianexpress.com/article/business/economists-divided-over-rbi-rate-action-in-april-policy-8534273/,Economists divided over RBI rate action in April policy,While many see 25 bps hike some expect status quo,The Reserve Bank of India RBI is likely to raise the repo rate by 25 basis points bps in the upcoming monetary policy to rein in inflation which is hovering above its comfort zone say bankers an 3989 chars
https://indianexpress.com/article/express-sunday-eye/sunday-long-reads-zeenat-aman-nehru-principles-geetanjali-kulkarni-ranjit-lal-8525798/,Sunday Long Reads A star is reborn  Zeenat Aman democratic core guided Nehrus policymaking and more,Here are this weeks most interesting reads,A star is reborn Zeenat Aman Laughing at the places life takes me Why hello there Instagram Thus began the Instagram takeover of Zeenat Aman whose bio reads Actor Mother Maverick Accompanyi 5604 chars
https://indianexpress.com/article/trending/trending-in-india/anand-mahindra-video-man-making-rice-cakes-in-turbo-mode-8533439/,Idli love Anand Mahindra shares video showing man making rice cakes in turbo mode watch,The clip was reportedly shot at Om Shanti Caters a food joint in Sangli Maharashtra,The simple dish of idli is perhaps one of the most enjoyed breakfast items in India While many people make their own idlis in small batches several food joints make idlis and other south Indian dis 1860 chars
https://indianexpress.com/article/entertainment/telugu/dasara-box-office-collection-day-3-nani-starrer-rs-71-crore-worldwide-8533654/,Dasara box office collection Day 3 Nani film earns Rs 71 crore worldwide aims for Rs 100 crore,Dasara box office collection Day 3 Nanistarrer Dasara is drawing audience in the Telugu box office and maintaining a steady run in other states Heres how much it has minted till now,After earning an impressive Rs 232 crore and Rs 975 crore on day one and two respectively Nanis Telugu action entertainer Dasara has come to a total of Rs 4505 crore at the Indian box office b 2035 chars
https://indianexpress.com/article/cities/mumbai/at-mva-rally-uddhav-thackeray-fires-fresh-salvo-at-bjp-centre-trying-to-control-judiciary-8534376/,At MVA rally Uddhav Thackeray fires fresh salvo at BJP Centre trying to control judiciary,Thackeray took a dig at Prime Minister Narendra Modi over his degree and asked which type of degree he holds that he cant show it to anyone and those seeking its copy are getting penalised,Sharpening its attack on the BJP and its leadership Shiv Sena UBT president Uddhav Thackeray on Sunday said the party was weakening democratic institutions and trying to take control of the judici 2043 chars
https://indianexpress.com/article/cities/chandigarh/the-two-facets-of-rahul-gandhis-disqualification-8533802/,The two facets of Rahul Gandhis disqualification,Talking of the legal aspect many Congress leaders have questioned the action of the Lok Sabha secretariat on the ground that the sentence had been suspended by a month by the trial court itself,Written by Kailash Gupta It is curious to note that the Congress is concentrating on the political side rather than the legal one in the case of Rahul Gandhis disqualification from the Parliament f 6314 chars
https://indianexpress.com/article/cities/mumbai/savarkars-insult-will-not-be-tolerated-maharashtra-shinde-8534163/,Savarkars insult will not be tolerated in Maharashtra Shinde,Savarkar Gaurav Yatras held across state,Chief Minister Eknath Shinde on Sunday said that Maharashtra wont tolerate any insult of Hindutva ideologue Vinayak Damodar SavarkarMaharashtra will not tolerate in silence any attack on Savarkar  3516 chars
